user_id,total_orders,avg_order_value,max_order_value,first_order,last_order,days_since_last_order,user_tenure_days
140,1,560.0,560,2023-07-14,2023-07-14,536,536
141,2,357.5,475,2019-11-09,2023-10-01,457,1879
142,1,1280.0,1280,2022-07-18,2022-07-18,897,897
143,5,430.0,770,2019-02-05,2022-09-15,838,2156
144,8,618.75,830,2019-05-01,2024-12-30,1,2071
145,8,710.625,1090,2019-01-15,2024-12-06,25,2177
146,3,365.0,625,2020-09-28,2024-07-23,161,1555
147,7,698.5714285714286,1050,2019-05-04,2024-10-09,83,2068
148,2,570.0,910,2020-04-15,2021-01-07,1454,1721
149,1,145.0,145,2020-12-08,2020-12-08,1484,1484
150,3,896.6666666666666,1315,2022-02-11,2024-09-26,96,1054
151,5,1037.0,1400,2019-07-27,2024-12-16,15,1984
152,1,795.0,795,2020-03-15,2020-03-15,1752,1752
153,3,911.6666666666666,1500,2019-10-20,2022-04-15,991,1899
154,1,1070.0,1070,2021-08-01,2021-08-01,1248,1248
155,6,380.8333333333333,615,2019-04-27,2023-02-07,693,2075
156,2,917.5,1070,2023-05-13,2024-07-30,154,598
158,3,795.0,950,2021-04-09,2024-07-31,153,1362
159,2,570.0,905,2021-02-17,2023-03-20,652,1413
160,2,570.0,955,2022-08-02,2022-09-21,832,882
161,5,619.0,800,2020-03-23,2024-04-04,271,1744
162,2,712.5,715,2021-01-23,2024-06-21,193,1438
163,6,544.1666666666666,875,2019-10-30,2024-09-21,101,1889
164,4,1061.25,1295,2019-12-26,2022-07-29,886,1832
165,10,641.0,1430,2019-01-16,2024-11-22,39,2176
166,2,1190.0,1395,2023-03-23,2024-04-26,249,649
167,3,1138.3333333333333,1740,2019-01-07,2021-10-30,1158,2185
168,7,690.0,1365,2019-01-17,2022-06-16,929,2175
169,2,765.0,1100,2020-07-17,2023-09-16,472,1628
170,4,1207.5,1805,2019-07-25,2023-11-10,417,1986
171,3,1286.6666666666667,1855,2020-01-17,2022-04-20,986,1810
172,4,707.5,1025,2020-04-27,2024-06-19,195,1709
173,5,519.0,935,2020-10-27,2023-11-22,405,1526
174,3,390.0,560,2019-01-12,2022-12-17,745,2180
175,6,530.8333333333334,945,2019-01-06,2024-05-22,223,2186
176,5,1047.0,1995,2019-03-03,2022-09-11,842,2130
177,3,535.0,820,2019-03-18,2022-09-28,825,2115
178,2,240.0,255,2019-11-25,2020-09-24,1559,1863
179,1,685.0,685,2019-09-09,2019-09-09,1940,1940
180,3,488.3333333333333,805,2019-11-05,2022-08-01,883,1883
181,3,553.3333333333334,1030,2019-05-11,2023-10-07,451,2061
182,2,765.0,905,2022-10-26,2024-12-20,11,797
183,8,514.375,805,2019-04-04,2024-09-28,94,2098
184,8,685.625,1550,2019-04-13,2023-12-09,388,2089
185,1,430.0,430,2022-01-05,2022-01-05,1091,1091
186,6,537.5,1105,2019-02-21,2024-08-03,150,2140
187,2,192.5,230,2019-01-25,2021-02-05,1425,2167
188,1,155.0,155,2022-11-14,2022-11-14,778,778
189,4,473.75,685,2020-05-01,2023-09-10,478,1705
190,1,630.0,630,2023-12-26,2023-12-26,371,371
191,3,883.3333333333334,1555,2023-01-28,2023-10-04,454,703
192,3,723.3333333333334,1185,2020-09-13,2023-04-29,612,1570
193,5,431.0,800,2020-01-17,2023-08-19,500,1810
194,4,508.75,810,2021-12-21,2023-09-18,470,1106
195,6,809.1666666666666,1275,2020-06-29,2024-03-26,280,1646
196,3,858.3333333333334,1795,2021-06-24,2023-01-02,729,1286
197,3,640.0,995,2019-01-14,2023-12-11,386,2178
198,2,790.0,1110,2019-10-26,2022-02-24,1041,1893
199,5,541.0,1110,2019-12-01,2024-11-24,37,1857
200,4,651.25,1240,2019-12-07,2020-05-20,1686,1851
201,2,785.0,895,2019-11-07,2023-01-03,728,1881
202,5,732.0,1360,2019-12-30,2023-12-21,376,1828
203,4,621.25,955,2019-04-26,2024-11-14,47,2076
204,4,718.75,1885,2020-08-19,2022-07-31,884,1595
205,5,424.0,970,2019-12-16,2022-10-08,815,1842
206,6,361.6666666666667,490,2019-01-24,2024-04-01,274,2168
207,5,558.0,1045,2019-04-05,2024-06-01,213,2097
208,3,676.6666666666666,820,2022-03-28,2023-07-01,549,1009
209,1,460.0,460,2021-04-20,2021-04-20,1351,1351
210,8,830.0,1070,2019-04-22,2024-04-26,249,2080
211,6,801.6666666666666,1015,2021-03-08,2024-11-08,53,1394
212,4,807.5,1240,2021-07-29,2024-05-31,214,1251
213,6,855.0,1410,2019-11-20,2024-06-30,184,1868
214,6,446.6666666666667,870,2020-07-14,2024-07-12,172,1631
215,4,303.75,385,2019-08-21,2023-06-23,557,1959
216,4,426.25,840,2019-03-19,2024-10-03,89,2114
217,4,478.75,920,2020-06-06,2024-08-02,151,1669
218,4,593.75,910,2019-09-21,2022-05-07,969,1928
219,5,388.0,815,2019-04-09,2023-08-01,518,2093
220,3,1151.6666666666667,1515,2021-08-09,2023-05-01,610,1240
221,1,535.0,535,2021-04-16,2021-04-16,1355,1355
222,2,455.0,750,2019-03-20,2020-05-29,1677,2113
223,1,1530.0,1530,2020-02-05,2020-02-05,1791,1791
224,4,461.25,1050,2019-03-04,2022-05-24,952,2129
225,3,1480.0,2010,2019-12-10,2023-07-11,539,1848
226,5,492.0,925,2019-05-09,2022-10-17,806,2063
227,1,1335.0,1335,2019-02-25,2019-02-25,2136,2136
228,5,416.0,775,2019-10-17,2024-10-11,81,1902
229,4,490.0,775,2020-04-17,2022-10-05,818,1719
230,5,490.0,970,2019-03-19,2024-05-19,226,2114
231,5,1503.0,2080,2019-07-22,2024-04-15,260,1989
232,6,847.5,1500,2021-04-01,2023-10-10,448,1370
233,3,345.0,660,2021-02-04,2023-07-15,535,1426
234,1,1900.0,1900,2022-04-09,2022-04-09,997,997
235,5,796.0,1185,2020-12-21,2023-01-11,720,1471
236,1,665.0,665,2022-05-16,2022-05-16,960,960
237,6,396.6666666666667,795,2019-07-09,2024-07-08,176,2002
238,4,662.5,1255,2023-09-18,2024-11-17,44,470
239,3,961.6666666666666,1450,2019-03-21,2024-01-04,362,2112
240,2,337.5,400,2020-07-18,2021-11-01,1156,1627
241,4,858.75,1135,2020-02-10,2024-11-19,42,1786
242,3,521.6666666666666,900,2021-08-23,2022-06-25,920,1226
243,3,651.6666666666666,870,2019-03-04,2024-09-09,113,2129
244,2,315.0,330,2022-07-06,2022-12-10,752,909
245,7,812.1428571428571,1160,2019-02-09,2023-09-02,486,2152
246,6,570.0,1015,2019-05-08,2024-12-20,11,2064
247,4,826.25,1500,2020-01-26,2023-10-17,441,1801
248,4,482.5,825,2019-10-24,2024-03-27,279,1895
249,1,915.0,915,2020-09-07,2020-09-07,1576,1576
250,6,550.8333333333334,910,2019-10-10,2024-01-29,337,1909
251,2,1385.0,1725,2020-04-18,2020-10-07,1546,1718
252,2,590.0,810,2019-08-31,2024-04-12,263,1949
253,2,1080.0,1775,2019-02-05,2023-05-26,585,2156
254,6,670.0,1230,2019-07-20,2023-12-16,381,1991
255,2,765.0,1025,2021-08-16,2023-07-30,520,1233
256,5,920.0,1410,2019-07-04,2022-05-17,959,2007
257,1,325.0,325,2024-05-02,2024-05-02,243,243
258,4,518.75,715,2019-12-15,2024-11-05,56,1843
259,5,1103.0,2295,2019-04-25,2023-02-16,684,2077
260,2,477.5,790,2019-01-08,2019-05-20,2052,2184
261,8,611.25,1335,2019-06-21,2024-02-06,329,2020
262,3,728.3333333333334,1015,2021-06-09,2024-02-10,325,1301
263,5,588.0,1230,2019-03-10,2024-12-28,3,2123
264,4,768.75,1310,2020-06-15,2022-10-17,806,1660
265,2,607.5,845,2019-03-17,2024-10-26,66,2116
266,2,225.0,230,2019-06-27,2020-01-28,1799,2014
267,5,1113.0,1625,2019-08-12,2024-06-20,194,1968
268,7,382.85714285714283,880,2019-10-14,2023-11-06,421,1905
269,5,658.0,1305,2019-01-13,2022-09-11,842,2179
270,5,458.0,770,2019-06-09,2023-09-18,470,2032
271,3,668.3333333333334,995,2020-02-24,2024-11-13,48,1772
272,7,998.5714285714286,1650,2021-01-07,2024-11-17,44,1454
273,2,807.5,1140,2019-09-10,2024-02-26,309,1939
274,4,711.25,1030,2022-05-08,2024-09-20,102,968
275,5,1177.0,1840,2020-06-17,2023-04-13,628,1658
276,4,531.25,940,2021-09-14,2024-09-29,93,1204
277,3,363.3333333333333,710,2021-03-22,2022-08-22,862,1380
278,3,365.0,655,2020-11-05,2024-12-22,9,1517
279,5,539.0,770,2020-04-24,2024-09-09,113,1712
280,2,895.0,1245,2020-02-19,2022-08-27,857,1777
281,4,1196.25,1710,2019-07-05,2022-12-07,755,2006
282,6,784.1666666666666,1590,2020-01-07,2024-09-21,101,1820
283,4,1002.5,1635,2019-09-23,2023-08-24,495,1926
284,4,877.5,1105,2019-11-06,2023-12-19,378,1882
285,4,1035.0,1415,2019-08-09,2023-05-03,608,1971
286,3,880.0,1135,2019-04-01,2024-09-24,98,2101
287,5,651.0,1190,2021-04-07,2023-06-28,552,1364
288,5,602.0,965,2020-02-16,2024-07-12,172,1780
289,4,715.0,1290,2020-02-08,2023-11-28,399,1788
290,8,650.625,1055,2019-06-01,2023-11-10,417,2040
291,7,955.7142857142857,1665,2019-10-21,2023-01-24,707,1898
292,1,685.0,685,2023-01-18,2023-01-18,713,713
293,2,700.0,710,2019-05-25,2023-10-19,439,2047
294,1,300.0,300,2023-10-18,2023-10-18,440,440
295,6,710.8333333333334,930,2021-03-18,2024-12-06,25,1384
296,5,1118.0,1730,2019-02-22,2023-06-24,556,2139
297,5,790.0,1105,2019-09-22,2024-05-29,216,1927
298,2,677.5,1090,2019-12-07,2020-04-01,1735,1851
299,4,457.5,555,2021-11-02,2024-10-30,62,1155
300,5,678.0,1005,2019-04-20,2024-02-09,326,2082
301,6,944.1666666666666,1955,2019-04-17,2024-04-21,254,2085
302,1,1015.0,1015,2022-05-15,2022-05-15,961,961
303,4,411.25,700,2019-06-12,2024-12-28,3,2029
304,3,821.6666666666666,1240,2023-02-28,2024-07-22,162,672
305,5,459.0,795,2022-07-02,2024-05-09,236,913
306,7,697.8571428571429,1250,2020-04-27,2024-07-06,178,1709
307,3,680.0,980,2019-01-30,2023-12-29,368,2162
308,4,523.75,1000,2019-01-19,2024-07-01,183,2173
309,8,823.75,1530,2020-01-09,2024-04-28,247,1818
310,2,570.0,655,2020-10-10,2024-07-16,168,1543
311,3,821.6666666666666,925,2019-08-13,2020-05-28,1678,1967
312,8,446.875,845,2019-06-13,2022-09-15,838,2028
313,2,1562.5,2035,2021-11-01,2023-02-22,678,1156
314,4,611.25,1385,2020-12-06,2024-09-03,119,1486
315,3,538.3333333333334,910,2020-06-05,2024-08-10,143,1670
316,6,509.1666666666667,920,2019-01-22,2023-12-15,382,2170
317,2,770.0,1155,2020-07-23,2020-10-04,1549,1622
318,4,1176.25,1505,2019-04-17,2024-09-05,117,2085
319,3,551.6666666666666,750,2020-09-01,2024-08-05,148,1582
321,7,852.1428571428571,1575,2019-06-07,2024-05-06,239,2034
322,10,492.5,875,2019-06-26,2024-06-04,210,2015
323,3,1071.6666666666667,2335,2020-06-02,2023-08-20,499,1673
324,7,654.2857142857143,1130,2020-11-12,2024-08-02,151,1510
325,5,374.0,840,2019-03-23,2024-10-02,90,2110
326,3,860.0,890,2019-05-21,2023-07-23,527,2051
327,1,350.0,350,2023-07-27,2023-07-27,523,523
328,4,1165.0,2030,2022-03-13,2024-12-26,5,1024
329,5,708.0,1040,2019-08-28,2022-01-14,1082,1952
330,2,642.5,1010,2019-08-04,2023-12-24,373,1976
331,4,575.0,870,2019-04-15,2023-09-28,460,2087
332,2,687.5,1040,2021-03-11,2022-04-18,988,1391
333,4,752.5,1310,2020-09-03,2023-04-15,626,1580
334,2,967.5,1385,2021-10-01,2022-01-20,1076,1187
335,6,321.6666666666667,485,2019-01-16,2024-06-16,198,2176
336,4,801.25,1540,2019-11-26,2024-07-01,183,1862
337,5,963.0,1395,2020-06-15,2024-03-12,294,1660
338,2,652.5,1005,2019-06-08,2022-12-04,758,2033
339,4,593.75,930,2019-03-18,2022-01-08,1088,2115
340,5,694.0,1230,2019-10-18,2024-01-27,339,1901
341,7,1230.0,1625,2019-03-14,2024-09-14,108,2119
342,5,783.0,1540,2019-09-06,2023-03-02,670,1943
343,7,1037.142857142857,1800,2019-07-23,2024-02-02,333,1988
344,5,387.0,825,2019-10-14,2024-12-08,23,1905
346,5,542.0,1220,2019-01-02,2024-09-29,93,2190
347,2,837.5,1320,2019-09-06,2019-12-18,1840,1943
348,1,695.0,695,2021-05-14,2021-05-14,1327,1327
349,6,545.8333333333334,1220,2020-05-05,2023-12-15,382,1701
350,5,588.0,1010,2020-06-19,2023-12-14,383,1656
351,4,598.75,730,2019-06-12,2021-11-09,1148,2029
352,3,671.6666666666666,1520,2019-11-10,2022-11-21,771,1878
353,3,308.3333333333333,400,2022-03-28,2024-12-03,28,1009
354,2,1060.0,1690,2020-07-11,2020-10-25,1528,1634
355,4,550.0,875,2020-01-17,2024-02-12,323,1810
356,1,495.0,495,2024-10-19,2024-10-19,73,73
357,7,706.4285714285714,1130,2019-05-13,2023-07-17,533,2059
358,5,282.0,360,2020-07-22,2023-12-04,393,1623
359,2,245.0,260,2019-10-25,2022-12-04,758,1894
360,8,616.25,1555,2019-01-25,2024-06-18,196,2167
361,1,460.0,460,2023-11-11,2023-11-11,416,416
362,3,628.3333333333334,1005,2020-03-11,2023-11-20,407,1756
363,3,363.3333333333333,630,2019-12-10,2021-12-15,1112,1848
364,7,495.7142857142857,765,2019-01-23,2024-11-14,47,2169
365,2,347.5,530,2024-03-06,2024-05-13,232,300
366,1,210.0,210,2023-06-25,2023-06-25,555,555
367,2,410.0,665,2022-07-22,2023-04-29,612,893
368,7,431.42857142857144,815,2019-11-19,2024-01-17,349,1869
369,1,255.0,255,2021-04-25,2021-04-25,1346,1346
370,2,812.5,1075,2019-11-01,2024-01-14,352,1887
371,3,801.6666666666666,1570,2021-01-07,2024-10-20,72,1454
372,3,260.0,370,2020-07-01,2022-04-16,990,1644
373,4,583.75,1275,2020-08-07,2023-12-05,392,1607
374,2,575.0,960,2019-11-06,2021-08-20,1229,1882
375,5,534.0,770,2019-03-18,2024-11-25,36,2115
376,7,1110.0,1790,2019-07-07,2022-03-22,1015,2004
377,3,711.6666666666666,1145,2021-05-05,2022-01-23,1073,1336
378,3,476.6666666666667,830,2020-02-26,2024-03-15,291,1770
379,9,1009.4444444444445,2015,2019-02-10,2024-09-05,117,2151
380,5,1054.0,1635,2020-01-08,2024-12-30,1,1819
381,4,740.0,940,2020-01-19,2022-10-23,800,1808
382,7,407.14285714285717,655,2019-04-29,2023-05-11,600,2073
383,2,400.0,590,2021-04-16,2022-12-27,735,1355
384,1,1070.0,1070,2020-03-27,2020-03-27,1740,1740
385,4,638.75,935,2020-01-09,2024-11-14,47,1818
386,3,498.3333333333333,705,2019-01-28,2021-03-25,1377,2164
387,7,575.0,1010,2019-04-15,2023-11-28,399,2087
388,2,1340.0,1910,2019-08-13,2020-02-06,1790,1967
389,4,843.75,960,2019-05-13,2023-11-12,415,2059
390,2,682.5,865,2022-06-12,2024-09-18,104,933
391,3,1113.3333333333333,1680,2019-04-18,2021-11-27,1130,2084
392,2,870.0,1585,2020-12-26,2022-01-30,1066,1466
393,3,1056.6666666666667,1225,2024-01-06,2024-09-04,118,360
394,2,1095.0,1560,2019-12-07,2020-06-08,1667,1851
395,3,1006.6666666666666,1705,2020-10-03,2024-04-10,265,1550
396,1,215.0,215,2022-01-21,2022-01-21,1075,1075
397,3,496.6666666666667,1035,2021-05-19,2024-07-06,178,1322
398,5,505.0,1075,2021-05-21,2024-09-12,110,1320
399,3,1216.6666666666667,1430,2020-06-27,2021-12-20,1107,1648
400,5,515.0,1135,2020-09-20,2023-09-27,461,1563
401,4,335.0,755,2019-02-17,2021-01-03,1458,2144
402,2,770.0,795,2019-07-03,2021-03-26,1376,2008
403,3,645.0,675,2021-10-03,2024-06-29,185,1185
404,6,785.8333333333334,1100,2019-07-26,2022-04-16,990,1985
405,3,590.0,1000,2019-05-31,2021-12-26,1101,2041
406,4,950.0,1485,2021-01-04,2023-11-02,425,1457
407,4,840.0,1380,2019-06-18,2022-04-27,979,2023
408,5,1209.0,1540,2020-05-18,2024-11-29,32,1688
409,3,1171.6666666666667,1975,2021-09-21,2023-04-09,632,1197
410,1,485.0,485,2024-08-18,2024-08-18,135,135
411,2,577.5,730,2019-04-09,2020-01-08,1819,2093
412,3,1153.3333333333333,1505,2019-09-21,2020-07-18,1627,1928
413,4,560.0,1080,2020-01-18,2024-11-22,39,1809
414,4,843.75,1090,2019-11-20,2023-08-12,507,1868
415,3,860.0,1975,2020-01-07,2022-10-29,794,1820
416,6,560.8333333333334,830,2019-04-25,2024-07-24,160,2077
417,5,770.0,1155,2019-11-29,2024-03-07,299,1859
418,1,1155.0,1155,2024-07-22,2024-07-22,162,162
419,3,901.6666666666666,940,2020-07-12,2023-08-28,491,1633
420,5,492.0,685,2019-10-02,2024-10-04,88,1917
421,4,722.5,1125,2019-01-09,2024-02-24,311,2183
422,1,195.0,195,2023-03-31,2023-03-31,641,641
423,4,1182.5,1750,2019-05-16,2023-12-04,393,2056
424,5,440.0,790,2020-08-28,2022-10-21,802,1586
425,2,397.5,550,2023-11-13,2024-01-18,348,414
426,2,470.0,760,2020-05-15,2021-07-20,1260,1691
427,4,692.5,825,2023-09-14,2024-12-03,28,474
428,3,786.6666666666666,945,2019-02-26,2022-07-09,906,2135
429,5,611.0,1370,2020-09-07,2024-01-03,363,1576
430,4,856.25,1250,2019-03-27,2023-06-29,551,2106
432,1,1355.0,1355,2022-09-24,2022-09-24,829,829
433,2,702.5,1050,2024-11-22,2024-12-07,24,39
434,1,660.0,660,2021-12-27,2021-12-27,1100,1100
435,1,1030.0,1030,2024-11-04,2024-11-04,57,57
436,4,740.0,1435,2021-07-27,2022-08-21,863,1253
437,4,497.5,745,2019-01-05,2024-03-21,285,2187
438,1,1505.0,1505,2020-05-15,2020-05-15,1691,1691
439,5,549.0,1570,2019-10-19,2022-02-20,1045,1900
440,2,537.5,925,2022-03-24,2022-11-03,789,1013
441,2,650.0,930,2020-11-13,2023-10-03,455,1509
442,2,700.0,1235,2022-05-02,2023-01-05,726,974
443,4,498.75,720,2020-02-21,2023-05-11,600,1775
444,6,441.6666666666667,795,2020-03-02,2023-10-05,453,1765
445,5,866.0,1245,2020-01-22,2022-10-24,799,1805
446,3,645.0,755,2022-08-03,2024-12-13,18,881
447,3,1461.6666666666667,2105,2019-12-24,2023-05-13,598,1834
448,1,360.0,360,2021-12-25,2021-12-25,1102,1102
449,5,546.0,1140,2019-02-21,2024-05-31,214,2140
450,4,1427.5,1985,2019-01-24,2023-07-17,533,2168
451,2,822.5,1320,2021-08-13,2021-11-28,1129,1236
452,1,905.0,905,2024-06-01,2024-06-01,213,213
453,4,718.75,1045,2021-11-26,2024-06-20,194,1131
454,4,786.25,1090,2020-09-19,2024-11-15,46,1564
455,2,862.5,895,2019-08-24,2020-07-25,1620,1956
456,6,757.5,1210,2019-01-24,2023-07-14,536,2168
457,1,895.0,895,2021-02-16,2021-02-16,1414,1414
458,3,451.6666666666667,675,2019-08-03,2024-05-10,235,1977
460,3,306.6666666666667,430,2019-01-13,2024-07-29,155,2179
461,4,307.5,675,2020-03-29,2023-10-19,439,1738
462,1,435.0,435,2020-06-03,2020-06-03,1672,1672
463,4,343.75,490,2019-11-24,2023-01-20,711,1864
